3,0,0,0,0,
5,0,30,30,210,
7,0,54,0,486,
11,0,132,0,3300,
13,0,282,-150,6582,
17,0,306,510,10710,
19,0,126,0,1638,
23,0,552,0,27048,
29,0,870,-1218,43674,
31,0,666,0,32850,
37,148,1306,10294,93046,
41,0,1722,-738,144894,
43,0,1914,0,175506,
47,0,2256,0,232368,
53,0,2862,-4770,325314,
59,0,3540,0,377364,
61,-244,5050,-34822,681454,
67,0,3630,0,478110,
71,0,5112,0,700344,
73,0,4134,-6414,407586,
79,0,5514,0,634290,
83,0,6972,0,1058748,
89,0,8010,6942,1369710,
97,0,10086,9918,2150394,
101,0,10302,19998,2137362,
103,0,8046,0,1590750,
107,0,11556,0,2661732,
109,0,8934,-2130,1270842,
113,0,12882,3390,2783190,
127,0,17634,0,5161962,
131,0,17292,0,4280556,
137,0,18906,-28770,5310942,
139,0,16146,0,3207402,
149,0,22350,15198,6550338,
151,0,32298,0,12112962,
157,628,24610,277978,7869862,
163,0,30906,0,10356354,
167,0,28056,0,9695352,
173,0,30102,-57090,10200426,
179,0,32220,0,11734524,
181,0,33714,71730,12722238,
191,0,36672,0,13898688,
193,-772,42070,-437602,16752178,
197,0,39006,76830,15648498,
199,0,44190,0,18300078,
211,0,55026,0,22829274,
223,0,41586,0,15485946,
227,0,51756,0,24110124,
229,0,51270,156318,22736202,
233,0,54522,-48930,26434782,
239,0,57360,0,26488848,
241,0,71622,146454,37564650,
251,0,63252,0,32954292,
257,0,66306,131070,32568582,
263,0,69432,0,37108248,
269,0,72630,-37122,38895786,
271,0,70218,0,41641146,
277,0,75222,-7002,39841290,
281,0,79242,129822,43709550,
283,0,86706,0,45362682,
293,0,86142,-167010,51149010,
307,0,87546,0,50275218,
311,0,97032,0,60734568,
313,1252,105310,704134,64646506,
317,0,100806,47550,61006650,
331,0,85698,0,47534202,
337,0,99270,-95850,64477962,
347,0,120756,0,83167572,
349,-1396,121954,-920602,74246350,
353,0,124962,-158850,92143590,
359,0,129240,0,97524504,
367,0,135774,0,104003910,
373,-1492,138058,-1445818,113413126,
379,0,140166,0,105091974,
383,0,147072,0,109568640,
389,0,151710,-147042,122952786,
397,-1588,175906,-1339342,140329318,
401,0,161202,319998,127674390,
409,0,169518,341742,134536530,
419,0,175980,0,149326572,
421,0,170442,488310,145590030,
431,0,186192,0,163414512,
433,-1732,161938,-1009150,130611046,
