3,-3,9,-27,81,-243,729
5,-3,21,-57,273,-993,4161
7,0,54,-78,642,-1710,9114
11,0,148,-216,3748,-11160,115348
13,-6,112,174,2536,8574,71272
17,-15,327,-831,12903,-45375,616887
19,19,455,1759,21143,109639,1143215
23,23,383,617,16907,19193,878243
29,10,1020,424,68856,28000,5707800
31,-31,1125,-457,69033,81479,4983585
37,2,1114,356,65278,62492,4927054
41,10,1610,1708,147758,203980,15727430
43,43,2127,751,191871,-203417,21059367
47,47,1867,5717,140959,713837,13584607
53,-14,2366,4222,221270,1021966,27033446
59,0,3346,5004,384178,1499820,56878786
61,10,3246,6226,359910,1510570,51716046
67,0,4350,-8598,659850,-2823870,120296970
71,71,4489,12761,566581,2659961,90864829
73,-6,5314,1620,780598,920964,138198094
79,-158,6576,-24650,1086096,-4729778,219529656
83,0,7192,-3888,1300336,48600,293970712
89,-79,8109,-27157,1548321,-9324469,372429129
97,-273,9855,-43347,2037483,-9702843,511483995
101,204,10058,48420,1991450,12009204,513044378
103,103,10975,29515,2434039,10061443,678986335
107,0,11968,-12012,2680096,-5500860,739258048
109,-115,9669,-24589,1782777,-4581205,427496889
113,-14,13332,-1256,3072120,-835424,872938872
127,-254,13988,-46172,3547064,-11934644,1122672728
131,-131,13325,-39365,2924105,-14632421,873702545
137,-22,18586,4604,5004862,6561668,1703696926
139,0,17448,-6138,5014548,-4090410,1808228028
149,-14,20494,-24122,6282958,-11888954,2390574814
151,-151,21535,-64501,6433915,-24232141,2397254635
157,-179,23931,-35519,6854403,-15032279,2424039531
163,0,25688,-17772,8568320,-10654740,3585553928
167,-167,25241,-47123,7903361,-15772307,3112579601
173,-147,26847,-63807,8848287,-30114687,3760518447
179,179,31621,113015,11116933,56559479,4850352901
181,18,34806,-39618,12892758,-40749762,5946883686
191,0,31736,4590,11116724,17189670,5046759476
193,-207,36021,-78927,13963917,-40155927,6765710421
197,-195,38789,-47859,15505421,-21603195,7617022229
199,0,32592,-40296,11574456,-28435680,5274353232
211,0,42460,-11382,17142808,12914610,8583119560
223,223,43607,102277,18227675,66260413,9861301307
227,227,49827,91049,21471135,68459297,11549848527
229,-259,52111,-43921,23709523,-2134849,13366390651
233,26,55504,-12052,25540732,-25291564,14141454364
239,-239,57249,-142433,28180317,-81962729,17361609549
241,211,56557,76723,26521069,46287211,15415683397
251,251,59671,173717,28150867,116852261,16634448811
257,2,63588,-85012,32439000,-78480148,21073384128
263,0,73396,-81768,40434412,-127370640,27402586036
269,564,73208,363606,39855092,246125814,27155354588
271,0,72376,-37050,36698188,-50559930,23354642836
277,-259,86817,-182077,52469853,-121395949,38407263957
281,291,85009,204573,49978477,169216101,36187897309
283,283,74303,117589,38824163,86830213,25957277963
293,-259,80831,-196867,45952775,-153372019,33894238631
307,-307,92251,-228625,58320655,-153690457,45685913791
311,0,102208,30780,66661384,5542380,52931717608
313,339,96769,77019,59133409,-59941221,44814222049
317,-339,108415,-325683,69220015,-283905819,54059741095
331,-331,103505,-141307,66016865,-112356451,51991947305
337,-319,108867,-262645,71116335,-326484709,58797962727
347,0,125472,-34338,92646852,-43862610,84299275692
349,10,119184,35542,77746368,12778750,63794948184
353,34,125380,-184292,88277152,-306182756,77098715080
359,-359,125081,-238397,86605253,-178208789,74743838261
367,0,136906,78504,99266314,133718400,89048174626
373,-387,146501,-573189,108474809,-630875157,98558777441
379,0,142172,173934,107678192,244174950,102563630912
383,-383,147351,-466769,117230211,-571226513,116845101051
389,34,159566,-242948,126740666,-387428516,125635348466
397,-435,159261,-198777,123202017,-146481945,118583983641
401,2,153698,77918,116097026,157278422,108332360618
409,403,172995,235411,141708315,116278363,144664089795
