3,-3,9,-27,81,-243,729
5,5,15,35,99,275,795
7,-21,75,-273,1011,-3801,14475
11,-11,121,-77,2629,2179,72061
13,39,243,1191,6579,35679,199323
17,17,255,629,7719,26357,283815
19,-57,297,-1641,9945,-63057,412497
23,-23,529,-2231,24265,-151463,1394329
29,29,783,899,43563,34259,3026643
31,-93,759,-4917,36975,-273333,2082639
37,111,1269,7401,77193,543801,5561649
41,41,1599,2501,130671,205301,13482399
43,-129,2043,-13791,182223,-1623279,19890423
47,-47,2209,-5687,207505,-784487,24378289
53,53,2703,8003,278259,1214723,35660043
59,-59,3481,-10325,410581,-1977269,60555181
61,183,4257,24717,548469,4044333,82713357
67,-201,5037,-22557,816117,-4151901,158020917
71,-71,5041,-10295,715609,-2061671,127012681
73,219,3915,19155,431595,1449579,57093795
79,-237,5277,-42285,723621,-8066037,128322957
83,-83,6889,-18509,1143325,-3956573,237229189
89,89,7743,9701,1371903,897989,304750863
97,291,8631,65451,1547415,17085891,342186111
101,101,9999,15251,1980291,3655091,488209659
103,-309,9591,-68457,2035239,-19367049,548103111
107,-107,11449,6955,2449765,6614923,655294429
109,327,11223,53895,2397015,14945007,640360863
113,113,12543,15029,2833479,3869093,802967943
127,-381,18015,-118533,4976007,-43104261,1642220295
131,-131,17161,-38645,4495789,-14824181,1472344501
137,137,18495,21509,5023119,4910357,1704386175
139,-417,18231,-163785,4903575,-68519937,1697614431
149,149,21903,65411,6516243,25435379,2428456683
151,-453,26409,-111441,8586057,-32445993,3413691489
157,471,21627,43131,6064947,-2977269,2122943427
163,-489,29439,-152733,10306143,-59637549,4439316879
167,-167,27889,-28223,9314425,-7032767,3888729769
173,173,29583,88403,10126299,38329523,4323995043
179,-179,32041,-78581,11470141,-41559989,5132839141
181,543,35343,168987,13099023,63767523,6130181223
191,-191,36481,-36863,13935169,-14387711,6653987521
193,579,41877,223185,17478441,99533289,9067524057
197,197,38415,114851,14982819,71668547,7289396955
199,-597,42399,-242049,17854335,-130578177,9187713279
211,-633,50595,-262137,22190955,-108633513,11955617835
223,-669,42255,-196509,18005175,-51622509,9940316535
227,-227,51529,-105101,23393485,-53203037,13275724309
229,687,56079,346071,25489287,194675007,13665705759
233,233,53823,159605,25036719,117080213,14573141343
239,-239,57121,-126431,27303121,-86368799,16313527921
241,723,65115,377319,33796539,218110143,20675717955
251,-251,63001,-134285,31625749,-70738301,19845061741
257,257,65535,182213,33424119,118897877,21274885335
263,-263,69169,-145439,36382105,-98642783,23921128969
269,269,71823,85811,38620923,33867299,25993461123
271,-813,72657,-311529,41019345,-114565593,28605311217
277,831,67743,634575,35295975,470639271,23497943823
281,281,78399,125045,43845951,29457941,30636114639
283,-849,87555,-505911,51219543,-349058919,37797606975
293,293,85263,114563,49638339,29620643,36077075643
307,-921,88467,-343551,54690063,-148800351,42918452727
311,-311,96721,-186911,60159529,-161339231,46773887161
313,939,101241,638373,61539741,578839269,45300094821
317,317,99855,207635,63284619,221580227,50191654515
331,-993,98607,-884001,59091807,-799469193,44819947047
337,1011,102303,596631,64470159,327246231,52108829343
347,-347,120409,-352205,83562805,-315002237,72490550989
349,1047,113229,841809,71350353,731198217,57396310929
353,353,123903,436661,87271959,480522053,76855100343
359,-359,128881,-155447,92535481,-41280359,83050399081
367,-1101,123663,-393213,87833487,-102055341,80373211743
373,1119,146637,1298937,114245361,1419700449,109017647937
379,-1137,129933,-469461,87965973,-278859477,74160136053
383,-383,146689,-257759,112362625,-218574623,107586991489
389,389,150543,170771,116978403,70386179,113684459163
397,1191,168363,912387,129474675,883759971,123003882963
401,401,159999,746261,127681191,989156021,127235358759
409,1227,168291,1149483,135669267,1301309787,134513247411
419,-419,175561,-435341,147118861,-397917149,154106741461
421,1263,159075,1293771,130027779,1495364403,136734292395
431,-431,185761,-465911,160124689,-715690151,172534071601
433,1299,184887,740109,159775587,488253189,171998550387
439,-1317,178767,-626781,143950239,-262052877,146345994207
443,-443,196249,-492173,173875285,-735661373,192566581549
449,449,200703,210581,179737143,197367989,201161234583
457,1371,211491,1713909,196784271,2053229421,229284657711
461,461,211599,633875,194820411,1025987411,224286494019
463,-1389,194523,-1457157,168437283,-1824646269,184495299243
467,-467,218089,-104141,203693725,56077603,237812094469
479,-479,229441,-264887,219803041,-236424359,263213795041
487,-1461,226467,-898113,214332939,-611605281,258372304587
491,-491,241081,-675125,236740069,-866687381,290598070621
499,-1497,262947,-1972983,257747295,-2467256007,309141696567
503,-503,253009,-290231,254525545,4417177,320065490809
509,509,258063,699875,261863883,1079602259,331983831603
521,521,270399,506933,281442831,616660421,366293946879
523,-1569,292293,-2183961,314979453,-3520315929,429878626893
541,1623,280827,1788015,308808747,2304652143,434513084427
547,-1641,320583,-1316649,363061911,-739307721,515503760583
557,557,309135,525251,344265819,798053507,479523001635
563,-563,316969,-611981,356905405,-1267285853,502343879269
569,569,322623,1154501,366929823,1943818709,521900551023
571,-1713,353193,-2341893,404939625,-4236836853,575434906233
577,1731,310041,1342641,343068669,1595312481,476979068421
587,-587,344569,-807125,404522245,-1376339957,593635874749
593,593,350463,875861,414782439,1113308933,613536391143
599,-599,358801,-403127,429841801,-523157159,643687555801
601,1803,342495,2198829,391641651,3285323013,557683694595
607,-1821,386259,-2307333,477809403,-3337433301,737531479419
613,1839,397737,3311481,521631549,5975886009,839323223397
617,617,379455,481877,468201519,332615957,722574805215
619,-1857,352425,-964713,427573641,-520299417,658705066185
631,-1893,396225,-2837469,505942785,-4773368253,810647708625
641,641,409599,516005,523620471,540249701,836299648599
643,-1929,384843,-851727,494111847,259658241,799802325183
647,-647,418609,-1584503,541678105,-3585695207,876163703689
653,653,425103,1274003,554785659,3118744403,905336720643
659,-659,434281,-289301,572380381,-4009109,942996022981
661,1983,427545,2970849,544139901,5171090313,870993056925
673,2019,458505,2543853,630364941,3546056109,1065572034885
677,677,456975,459683,616919619,-76029133,1040437927995
683,-683,466489,-70349,637221925,639033667,1088055733789
691,-2073,481563,-2676207,670164327,-5011559103,1173936460383
701,701,489999,1266707,685281291,2466941411,1197484483059
709,2127,523467,3283059,791787195,5365289667,1470632803947
719,-719,516961,-984311,743387761,-1845538919,1336238721361
727,-2181,557127,-2007093,850750983,-2914585221,1591784983287
