3,0,0,0
5,0,20,60
7,0,84,-120
11,0,132,264
13,26,104,476
17,0,168,360
19,0,684,-1008
23,0,552,-1656
29,0,812,-1044
31,0,868,60
37,0,1332,36
41,-82,1996,-8800
43,0,1720,-348
47,94,2162,7990
53,0,3180,-8268
59,0,3540,0
61,0,3660,2988
67,134,4422,22838
71,142,4970,15478
73,0,6384,4032
79,158,6162,28850
83,166,6806,39010
89,-178,7548,-49168
